iter	Passed	Remaining
0	288	288475
1	486	242553
2	702	233507
3	915	228038
4	1123	223487
5	1330	220428
6	1535	217757
7	1743	216167
8	1942	213933
9	2149	212811
10	2338	210278
11	2522	207725
12	2715	206159
13	2903	204468
14	3082	202418
15	3251	199948
16	3434	198573
17	3601	196482
18	3781	195241
19	3979	194988
20	4159	193901
21	4353	193538
22	4538	192775
23	4731	192404
24	4928	192217
25	5106	191282
26	5276	190159
27	5479	190214
28	5647	189079
29	5821	188219
30	5988	187185
31	6136	185626
32	6288	184260
33	6460	183540
34	6612	182324
35	6762	181071
36	6901	179617
37	7089	179475
38	7247	178590
39	7399	177585
40	7556	176748
41	7714	175973
42	7846	174621
43	8010	174055
44	8182	173651
45	8334	172849
46	8493	172218
47	8643	171428
48	8810	171003
49	8993	170867
50	9146	170202
51	9310	169733
52	9440	168678
53	9588	167976
54	9733	167237
55	9885	166641
56	10013	165654
57	10178	165319
58	10321	164621
59	10496	164445
60	10665	164176
61	10815	163627
62	10968	163134
63	11118	162609
64	11273	162168
65	11421	161635
66	11589	161386
67	11731	160784
68	11873	160205
69	12013	159611
70	12160	159114
71	12332	158950
72	12478	158455
73	12630	158046
74	12782	157652
75	12926	157162
76	13076	156751
77	13227	156350
78	13409	156327
79	13568	156041
80	13724	155714
81	13869	155272
82	14050	155236
83	14207	154931
84	14380	154805
85	14533	154460
86	14711	154383
87	14889	154305
88	15043	153988
89	15216	153853
90	15360	153434
91	15516	153139
92	15695	153070
93	15853	152798
94	16013	152550
95	16170	152272
96	16340	152119
97	16508	151944
98	16693	151929
99	16877	151901
100	17016	151460
101	17166	151132
102	17336	150978
103	17511	150869
104	17655	150495
105	17795	150082
106	17970	149979
107	18113	149608
108	18290	149513
109	18475	149483
110	18641	149300
111	18805	149103
112	18979	148977
113	19154	148865
114	19292	148470
115	19447	148199
116	19597	147902
117	19741	147557
118	19887	147237
119	20040	146960
120	20189	146669
121	20358	146512
122	20503	146192
123	20679	146089
124	20830	145816
125	20982	145546
126	21133	145274
127	21318	145229
128	21493	145123
129	21673	145046
130	21814	144706
131	21979	144530
132	22141	144336
133	22316	144227
134	22491	144109
135	22657	143940
136	22808	143679
137	22970	143484
138	23133	143292
139	23294	143091
140	23433	142760
141	23622	142732
142	23790	142574
